Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Diluted EPS
2019-12-31,70.52478313702217,71.43696174373699,70.42505071855526,71.4296646118164,100805600,0.0,0.0,
2020-01-02,72.05968880920676,73.12025253149459,71.80428171999192,73.05944061279297,135480400,0.0,0.0,
2020-01-03,72.2810196950555,73.11535714497788,72.12291024663391,72.34912872314453,146322800,0.0,0.0,
2020-01-06,71.46373056379144,72.96456443645592,71.21075092433249,72.92564392089844,118387200,0.0,0.0,
2020-01-07,72.9353691022173,73.19321099832098,72.36130825378376,72.5826644897461,108872000,0.0,0.0,
2020-01-08,72.28346133591573,74.05430365589083,72.28346133591573,73.750244140625,132079200,0.0,0.0,
2020-01-09,74.73539943290068,75.51135996612605,74.48242724260838,75.31676483154297,170108400,0.0,0.0,
2020-01-10,75.55271163708832,76.0562359879579,74.98107825011041,75.48703002929688,140644800,0.0,0.0,
2020-01-13,75.80569029297067,77.12652306066812,75.68649391377143,77.09976196289062,121532000,0.0,0.0,
2020-01-14,77.03651484949997,77.24813906541692,75.93460356191406,76.05865478515625,161954400,0.0,0.0,
2020-01-15,75.85677809337413,76.74463049558277,75.29730406682582,75.73271942138672,121923600,0.0,0.0,
2020-01-16,76.28000893806067,76.79326520017712,75.915137562241,76.68136596679688,108829200,0.0,0.0,
2020-01-17,76.93193227416724,77.53275427191937,76.6230104283309,77.53032684326172,137816400,0.0,0.0,
2020-01-21,77.15571040252429,77.60085026482597,76.86624515128455,77.00489807128906,110843200,0.0,0.0,
2020-01-22,77.49382156207548,77.83680158843879,77.18489976485218,77.27976989746094,101832400,0.0,0.0,
2020-01-23,77.33329320599911,77.73221547665938,76.78111631061972,77.65194702148438,104472000,0.0,0.0,
2020-01-24,77.90003964500053,78.64923894581415,77.23597106087486,77.42813873291016,146537600,0.0,0.0,
2020-01-27,75.42135321207418,75.83730454581146,74.16133237638986,75.15135192871094,161940000,0.0,0.0,
2020-01-28,76.03921414671807,77.450047496772,75.93948172299652,77.27734375,162234000,0.0,0.0,
2020-01-29,78.92166617947393,79.74870631883249,78.17489446088966,78.89490509033203,216229200,0.0,0.0,
2020-01-30,77.97059778520895,78.83412390665777,77.53518244681874,78.78060913085938,126743200,0.0,0.0,
2020-01-31,78.06545848772218,78.49114183135259,74.99081236871663,75.2875747680664,199588400,0.0,0.0,
2020-02-03,74.02024707390015,76.25569327373847,73.51429529550494,75.080810546875,173788400,0.0,0.0,
2020-02-04,76.69841057787373,77.7516769859721,76.2897563359766,77.55950927734375,136616400,0.0,0.0,
2020-02-05,78.6954571741798,78.99708923184006,77.58382133625084,78.19194030761719,118826800,0.0,0.0,
2020-02-06,78.46436716731995,79.10897171629748,77.90246589789741,79.10653686523438,105425600,0.0,0.0,
2020-02-07,78.60184524689816,78.85298463915258,77.53633144246979,78.03129577636719,117684000,0.1925,0.0,
2020-02-10,76.60492020239471,78.40190887451172,76.52446124375453,78.40190887451172,109348800,0.0,0.0,
2020-02-11,78.90176072004137,78.97490523367954,77.70945306110674,77.92889404296875,94323200,0.0,0.0,
2020-02-12,78.38239113807435,79.78438431732128,78.38239113807435,79.77951049804688,113730400,0.0,0.0,
2020-02-13,79.04560372843068,79.5405680329098,78.8407916825372,79.2114028930664,94747600,0.0,0.0,
2020-02-14,79.17971028832615,79.48205828008503,78.71888501139314,79.23091888427734,80113600,0.0,0.0,
2020-02-18,76.89260998052373,77.9630047669605,76.70974132196166,77.78013610839844,152531200,0.0,0.0,
2020-02-19,78.02395613887846,79.13823754831346,78.02395613887846,78.90660095214844,93984000,0.0,0.0,
2020-02-20,78.66522307707686,79.15774666127189,77.58751382178706,78.09710693359375,100566000,0.0,0.0,
2020-02-21,77.68749812754324,78.13370191707101,75.70764088339838,76.32939147949219,129554000,0.0,0.0,
2020-02-24,72.47939009927634,74.16665419248886,70.52147650544899,72.70370483398438,222195200,0.0,0.0,
