date,price,volume,log_returns
2022-05-06 00:00:00-04:00,274.7300109863281,150060656,
2022-05-13 00:00:00-04:00,261.1099853515625,185273633,-0.05084711880197197
2022-05-20 00:00:00-04:00,252.5800018310547,138502039,-0.03321368090571434
2022-05-27 00:00:00-04:00,273.239990234375,117826955,0.07862245665611871
2022-06-03 00:00:00-04:00,270.04998779296875,107803527,-0.011743412287504487
2022-06-10 00:00:00-04:00,252.9010009765625,94987960,-0.06560897017443139
2022-06-17 00:00:00-04:00,247.52999877929688,139779957,-0.021466329808786256
2022-06-24 00:00:00-04:00,267.9800109863281,81909218,0.0793806100044567
2022-07-01 00:00:00-04:00,259.53900146484375,95636296,-0.03200540588223911
2022-07-08 00:00:00-04:00,267.6600036621094,70275516,0.03081054607513017
2022-07-15 00:00:00-04:00,256.7099914550781,116556515,-0.04177052223838428
2022-07-22 00:00:00-04:00,260.4599914550781,91301800,0.014502255920726867
2022-07-29 00:00:00-04:00,280.75,138460669,0.07501532788603683
2022-08-05 00:00:00-04:00,282.8699951171875,85269074,0.0075228172654590985
2022-08-12 00:00:00-04:00,291.8999938964844,85602617,0.0314238460664456
2022-08-19 00:00:00-04:00,286.1600036621094,74621751,-0.01986014920227622
2022-08-26 00:00:00-04:00,268.1700134277344,79574416,-0.0649299499085868
2022-09-02 00:00:00-04:00,256.0899963378906,86671172,-0.046092226943734854
2022-09-09 00:00:00-04:00,264.44000244140625,70062953,0.03208546080188159
2022-09-16 00:00:00-04:00,244.74000549316406,113467872,-0.07741794669532226
2022-09-23 00:00:00-04:00,237.9600067138672,127082048,-0.028093824468446264
2022-09-30 00:00:00-04:00,232.75999450683594,118728977,-0.022094764345624105
2022-10-07 00:00:00-04:00,234.25,114966954,0.006381064930183196
2022-10-14 00:00:00-04:00,228.5800018310547,132201865,-0.024502654638515912
2022-10-21 00:00:00-04:00,242.11900329589844,100109174,0.05754308796428247
2022-10-28 00:00:00-04:00,235.7899932861328,191782394,-0.02648780453526899
2022-11-04 00:00:00-04:00,221.52000427246094,141927860,-0.06242865175930174
2022-11-11 00:00:00-05:00,247.32000732421875,134830687,0.11017017615498079
2022-11-18 00:00:00-05:00,241.32000732421875,106102178,-0.024559190381498158
2022-11-25 00:00:00-05:00,247.75999450683594,58965590,0.026336629570425745
2022-12-02 00:00:00-05:00,255.02000427246094,102771617,0.02888147671519468
2022-12-09 00:00:00-05:00,245.4199981689453,84518364,-0.03837096912133134
2022-12-16 00:00:00-05:00,243.8699951171875,150181370,-0.006335744683102964
2022-12-23 00:00:00-05:00,238.75999450683594,106040121,-0.02117643611100073
2022-12-30 00:00:00-05:00,239.8300018310547,60564770,0.0044715063634809945
2023-01-06 00:00:00-05:00,224.8699951171875,137941934,-0.06440791092206978
2023-01-13 00:00:00-05:00,239.1300048828125,108377757,0.06148492179220591
2023-01-20 00:00:00-05:00,240.1699981689453,98278100,0.004339640774664849
2023-01-27 00:00:00-05:00,248.1699981689453,168884329,0.03276698951928817
2023-02-03 00:00:00-05:00,258.3500061035156,118066402,0.04020129053721575
2023-02-10 00:00:00-05:00,263.1000061035156,165629048,0.018218932886528632
2023-02-17 00:00:00-05:00,258.0899963378906,146349821,-0.019225864132616094
2023-02-24 00:00:00-05:00,249.2100067138672,82573976,-0.03501240565240319
2023-03-03 00:00:00-05:00,255.32000732421875,92731780,0.024221747614593333
2023-03-10 00:00:00-05:00,248.60000610351562,97319558,-0.02667248544612232
2023-03-17 00:00:00-04:00,279.42999267578125,193930955,0.1169065841613735
2023-03-24 00:00:00-04:00,280.5799865722656,151885926,0.004107053644028168
2023-03-31 00:00:00-04:00,288.2300109863281,106047978,0.0268999692098495
2023-04-07 00:00:00-04:00,291.57000732421875,87986510,0.011521328660008151
2023-04-14 00:00:00-04:00,286.1700134277344,106090199,-0.018694052555966595
2023-04-21 00:00:00-04:00,285.7900085449219,88042593,-0.0013287814676808238
2023-04-28 00:00:00-04:00,307.32000732421875,185091430,0.07263226855220829
2023-05-05 00:00:00-04:00,310.6300048828125,101026792,0.010712935187901937
2023-05-12 00:00:00-04:00,309.0199890136719,105049268,-0.0051965448497715795
2023-05-19 00:00:00-04:00,318.3800048828125,94336048,0.02983968909330674
2023-05-26 00:00:00-04:00,332.8500061035156,128558776,0.0444463031204287
2023-06-02 00:00:00-04:00,335.29998779296875,91774883,0.007333660682037505
2023-06-09 00:00:00-04:00,326.80999755859375,104009889,-0.025646662263413514
2023-06-16 00:00:00-04:00,342.55999755859375,124149760,0.047067862911955666
2023-06-23 00:00:00-04:00,335.04998779296875,75944404,-0.022167079728710043
2023-06-30 00:00:00-04:00,340.2900085449219,83935896,0.01551848236404814
2023-07-07 00:00:00-04:00,337.19000244140625,64959613,-0.009151643411876305
2023-07-14 00:00:00-04:00,345.3699951171875,118712032,0.023969715045246337
2023-07-21 00:00:00-04:00,343.7799987792969,171827369,-0.004614377633951418
2023-07-28 00:00:00-04:00,338.3500061035156,165406390,-0.015921033631890995
2023-08-04 00:00:00-04:00,327.79998779296875,95315097,-0.03167725164683029
2023-08-11 00:00:00-04:00,321.0899963378906,82318067,-0.020682182811311872
2023-08-18 00:00:00-04:00,316.5199890136719,80624906,-0.014335050227902976
2023-08-25 00:00:00-04:00,322.989990234375,76981888,0.020234936724753686
2023-09-01 00:00:00-04:00,328.6600036621094,62730250,0.01740246013968859
2023-09-08 00:00:00-04:00,334.29998779296875,56429975,0.01701496401516206
2023-09-15 00:00:00-04:00,330.2099914550781,77886969,-0.01230996708467823
